combination,SL68,SL104,SL106,SL187,SL197,SLWC2,t8,t16,t24,t32,t40,t48
1,1,0,0,0,0,0,0.029,0.266,0.468,0.611,0.702,0.797
2,0,1,0,0,0,0,0.355,0.623,0.884,1.056,1.242,1.447
3,0,0,1,0,0,0,0.093,0.194,0.242,0.282,0.322,0.336
4,0,0,0,1,0,0,0.327,0.373,0.424,0.447,0.524,0.634
5,0,0,0,0,1,0,0.243,0.448,0.531,0.621,0.705,0.777
6,0,0,0,0,0,1,0.063,0.173,0.244,0.340,0.452,0.554
7,1,1,0,0,0,0,0.186,0.514,0.753,1.134,1.371,1.571
8,1,0,1,0,0,0,0.056,0.318,0.555,0.704,0.767,0.841
9,1,0,0,1,0,0,0.110,0.425,0.612,0.805,0.987,1.006
10,1,0,0,0,1,0,0.187,0.430,0.588,0.722,0.845,0.896
11,1,0,0,0,0,1,0.100,0.350,0.521,0.692,0.874,0.957
12,0,1,1,0,0,0,0.184,0.516,0.781,0.918,1.021,1.115
13,0,1,0,1,0,0,0.371,0.689,0.885,1.043,1.200,1.376
14,0,1,0,0,1,0,0.107,0.349,0.624,0.892,1.088,1.248
15,0,1,0,0,0,1,0.239,0.531,0.819,1.016,1.118,1.235
16,0,0,1,1,0,0,0.154,0.283,0.383,0.464,0.532,0.662
17,0,0,1,0,1,0,0.122,0.316,0.507,0.631,0.722,0.817
18,0,0,1,0,0,1,0.104,0.222,0.235,0.342,0.453,0.580
19,0,0,0,1,1,0,0.342,0.544,0.729,0.912,1.133,1.369
20,0,0,0,1,0,1,0.146,0.251,0.296,0.508,0.626,0.711
21,0,0,0,0,1,1,0.190,0.355,0.465,0.577,0.670,0.789
22,1,1,1,0,0,0,0.195,0.509,0.571,0.931,1.114,1.316
23,1,1,0,1,0,0,0.189,0.457,0.701,0.956,1.067,1.231
24,1,1,0,0,1,0,0.112,0.415,0.773,1.035,1.168,1.297
25,1,1,0,0,0,1,0.142,0.463,0.833,1.069,1.345,1.479
26,1,0,1,1,0,0,0.159,0.469,0.660,0.871,1.068,1.193
27,1,0,1,0,1,0,0.107,0.356,0.510,0.627,0.721,0.804
28,1,0,1,0,0,1,0.176,0.391,0.528,0.674,0.798,0.900
29,1,0,0,1,1,0,0.087,0.318,0.500,0.675,0.854,1.011
30,1,0,0,1,0,1,0.189,0.433,0.612,0.792,0.980,1.092
31,1,0,0,0,1,1,0.120,0.345,0.531,0.684,0.896,1.081
32,0,1,1,1,0,0,0.190,0.395,0.566,0.741,0.889,0.963
33,0,1,1,0,1,0,0.296,0.584,0.837,0.979,1.123,1.266
34,0,1,1,0,0,1,0.178,0.428,0.743,0.946,1.118,1.218
35,0,1,0,1,1,0,0.146,0.435,0.636,0.896,0.999,1.136
36,0,1,0,1,0,1,0.305,0.628,0.874,1.035,1.191,1.336
37,0,1,0,0,1,1,0.215,0.527,0.823,1.003,1.109,1.204
38,0,0,1,1,1,0,0.233,0.509,0.660,0.960,1.148,1.345
39,0,0,1,1,0,1,0.289,0.447,0.601,0.702,0.846,1.033
40,0,0,1,0,1,1,0.120,0.262,0.353,0.463,0.570,0.718
41,0,0,0,1,1,1,0.104,0.315,0.441,0.598,0.728,0.759
42,1,1,1,1,0,0,0.161,0.353,0.492,0.624,0.808,0.939
43,1,1,1,0,1,0,0.140,0.420,0.654,0.983,1.087,1.269
44,1,1,1,0,0,1,0.166,0.417,0.720,1.056,1.189,1.385
45,1,1,0,1,1,0,0.097,0.314,0.642,0.988,1.189,1.421
46,1,1,0,1,0,1,0.166,0.528,0.822,1.037,1.351,1.475
47,1,1,0,0,1,1,0.176,0.534,0.632,0.938,1.097,1.224
48,1,0,1,1,1,0,0.134,0.407,0.694,1.068,1.257,1.404
49,1,0,1,1,0,1,0.217,0.480,0.686,0.963,1.048,1.177
50,1,0,1,0,1,1,0.066,0.275,0.588,0.883,0.991,1.169
51,1,0,0,1,1,1,0.108,0.314,0.455,0.647,0.805,0.904
52,0,1,1,1,1,0,0.083,0.406,0.767,0.908,1.117,1.273
53,0,1,1,1,0,1,0.208,0.476,0.667,0.975,1.155,1.329
54,0,1,1,0,1,1,0.228,0.439,0.687,0.854,1.010,1.219
55,0,1,0,1,1,1,0.133,0.420,0.713,0.970,1.204,1.352
56,0,0,1,1,1,1,0.195,0.556,0.699,1.016,1.167,1.447
57,1,1,1,1,1,0,0.209,0.359,0.513,0.644,0.791,0.901
58,1,1,1,1,0,1,0.170,0.477,0.689,0.967,1.167,1.344
59,1,1,1,0,1,1,0.151,0.404,0.582,0.732,0.906,1.062
60,1,1,0,1,1,1,0.133,0.383,0.607,0.816,1.007,1.154
61,1,0,1,1,1,1,0.112,0.340,0.599,0.870,1.011,1.155
62,0,1,1,1,1,1,0.190,0.381,0.638,0.914,1.061,1.329
63,1,1,1,1,1,1,0.215,0.489,0.651,0.821,0.980,1.141
